,t_type,met_type,inferred_met_type
847862090,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
949987663,L4 IT VISp Rspo1,,L4 IT
643508561,L4 IT VISp Rspo1,,L4 IT
951683418,L5 ET VISp Krt80,,L5 ET-3
901445982,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
993540449,L2/3 IT VISp Agmat,,L2/3 IT
640285026,L4 IT VISp Rspo1,,L4 IT
821606754,L6 CT VISp Krt80 Sla,,L6 CT-2
697538916,L6 IT VISp Col18a1,L6 IT-2,L6 IT-2
717113701,L2/3 IT VISp Agmat,,L2/3 IT
867244389,L6 CT VISp Nxph2 Wls,,L6 CT-1
898529637,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
907417958,L6 CT VISp Ctxn3 Sla,,L6 CT-1
681912683,L5 ET VISp Lgr5,L5 ET-3,L5 ET-3
940583276,L5 ET VISp Krt80,,L5 ET-2
901376365,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
926894447,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
961096044,L5 NP VISp Trhr Met,,L5 NP
1054714226,L6 IT VISp Car3,,L5/L6 IT Car3
717085044,L4 IT VISp Rspo1,,L4 IT
638228854,L4 IT VISp Rspo1,,L4 IT
813005184,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
891558275,L6 IT VISp Penk Col27a1,L6 IT-2,L6 IT-2
882829701,L5 ET VISp Krt80,,L5 ET-3
989522310,L5 ET VISp Lgr5,,L5 ET-2
973777288,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
679557513,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
647764362,L5 ET VISp Krt80,,L5 ET-3
990538130,L6 IT VISp Col18a1,,
652544407,L5 ET VISp Lgr5,L5 ET-2,L5 ET-2
908675487,L6 IT VISp Col18a1,L6 IT-1,L6 IT-1
975325599,L6 IT VISp Car3,L5/L6 IT Car3,L5/L6 IT Car3
637385119,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
763943332,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
935795108,L6 IT VISp Penk Fst,,
915675559,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
638831018,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
603511210,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
910375338,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
961104301,L5 NP VISp Trhr Met,L5 NP,L5 NP
971708843,L6 IT VISp Penk Col27a1,L6 IT-1,L6 IT-1
910354863,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
916490671,L6 IT VISp Penk Col27a1,L6 IT-3,L6 IT-3
908855729,L6 CT VISp Nxph2 Wls,L6 CT-1,L6 CT-1
824641983,L5 IT VISp Batf3,,L5 IT-1
895740352,L5 ET VISp Lgr5,L5 ET-3,L5 ET-3
907381185,L6 CT VISp Krt80 Sla,,L6 CT-2
954223042,L4 IT VISp Rspo1,,L4 IT
1044355522,L6 IT VISp Car3,,L5/L6 IT Car3
985868742,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
901433799,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
623331789,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
827873742,L5 ET VISp Krt80,L5 ET-3,L5 ET-3
915642833,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
826780116,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
1038805463,L6b VISp Mup5,,L6b
880847320,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
899512791,L5 NP VISp Trhr Met,,L5 NP
901364185,L6 IT VISp Penk Col27a1,,
847870428,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
973498848,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
637848035,L6b P2ry12,,L6b
972470759,L6 CT VISp Ctxn3 Sla,,L6 CT-1
964999658,L6 CT VISp Ctxn3 Sla,,L6 CT-1
741206508,L6 IT VISp Col18a1,L6 IT-1,L6 IT-1
924641774,L2/3 IT VISp Rrad,,L2/3 IT
799967729,L4 IT VISp Rspo1,,L4 IT
920549874,L6 CT VISp Ctxn3 Sla,,L6 CT-1
904690163,L6 CT VISp Krt80 Sla,L6 CT-2,L6 CT-2
849668601,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
882440699,L5 ET VISp Krt80,,L5 ET-2
764500477,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
963267074,L6 IT VISp Col18a1,,
880871943,L5 ET VISp Lgr5,L5 ET-2,L5 ET-2
904653320,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
1000741385,L6 IT VISp Penk Col27a1,,
967338509,L6 CT VISp Ctxn3 Sla,,L6 CT-1
1006389773,L6b P2ry12,L6b,L6b
1010989582,L6b P2ry12,,L6b
1039243792,L6b VISp Crh,L6b,L6b
825002523,L4 IT VISp Rspo1,L4 IT,L4 IT
828885535,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
610400799,L6b P2ry12,L6b,L6b
973388326,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
920594987,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
645814831,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
906545713,L5 ET VISp Lgr5,,L5 ET-3
895777329,L5 IT VISp Batf3,,L5 IT-1
820095539,L6 IT VISp Col18a1,,
652532278,L5 IT VISp Batf3,,L5 IT-1
939539000,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
907385405,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
987036222,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
973478464,L5 ET VISp Krt80,,L5 ET-2
975477315,L6 IT VISp Car3,L5/L6 IT Car3,L5/L6 IT Car3
831228486,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
816462408,L2/3 IT VISp Agmat,,L2/3 IT
834161225,L5 IT VISp Batf3,,L5 IT-1
990231113,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
969964106,L5 IT VISp Batf3,,L5 IT-1
916699724,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
656947791,L5 IT VISp Batf3,,L5 IT-1
912329296,L6 IT VISp Col18a1,L6 IT-2,L6 IT-2
667490896,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
994015825,L2/3 IT VISp Rrad,,L2/3 IT
911964754,L6 IT VISp Penk Fst,,
899705429,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
926866005,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
963287636,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
834071129,L6 CT VISp Ctxn3 Sla,,L6 CT-1
1034926679,L6b VISp Crh,,L6b
992393816,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
917588572,L6 IT VISp Col18a1,L6 IT-2,L6 IT-2
982542941,L6b VISp Crh,L6b,L6b
952662618,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
645364320,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
640002660,L6 IT VISp Col18a1,,
679471718,L5 IT VISp Batf3,,L5 IT-1
898894447,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
915757680,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
973486704,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
796858996,L5 ET VISp Krt80,,L5 ET-3
929491574,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
963283581,L5 ET VISp Krt80,,L5 ET-3
764492424,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
604527243,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
904862358,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
880777888,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
909564578,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
643541667,L5 IT VISp Batf3,,L5 IT-1
914234018,L6 CT VISp Krt80 Sla,,L6 CT-2
827968165,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
983550630,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
904796843,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
992021164,L5 ET VISp Krt80,L5 ET-3,L5 ET-3
971586225,L5 IT VISp Col27a1,L5 IT-2,L5 IT-2
644864693,L5 IT VISp Batf3,L5 IT-1,L5 IT-1
717306549,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
994011832,L2/3 IT VISp Agmat,,L2/3 IT
893381309,L6b VISp Col8a1 Rxfp1,,L6b
898947776,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
818825921,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
637414095,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
828727287,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
882711263,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
895580896,L5 ET VISp Lgr5,L5 ET-3,L5 ET-3
834919146,L6 CT VISp Ctxn3 Sla,,L6 CT-1
990350059,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
982731503,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
717089521,L2/3 IT VISp Agmat,,L2/3 IT
962087670,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
673643261,L5 IT VISp Batf3,L5 IT-1,L5 IT-1
990354179,L5 ET VISp C1ql2 Cdh13,L5 ET-3,L5 ET-3
898558730,L6 CT VISp Ctxn3 Sla,,L6 CT-1
851733264,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
681937682,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
972557075,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
963345172,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
834083607,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
694745882,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
990599962,L5 ET VISp Krt80,,L5 ET-2
743754524,L6 IT VISp Col18a1,,
976964380,L5 ET VISp Lgr5,,L5 ET-3
973384481,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
1035086628,L6b Col8a1 Rprm,,L6b
640088868,L4 IT VISp Rspo1,,L4 IT
985832231,L6 CT VISp Ctxn3 Sla,,L6 CT-1
740305711,L6 IT VISp Col18a1,L6 IT-2,L6 IT-2
930057008,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
975477551,L5 ET VISp Krt80,,L5 ET-2
895548208,L5 IT VISp Col27a1,L5 IT-2,L5 IT-2
992774965,L5 ET VISp Krt80,,L5 ET-3
977029946,L6b Col8a1 Rprm,L6b,L6b
742734652,L5 ET VISp C1ql2 Cdh13,L5 ET-3,L5 ET-3
681405248,L5 ET VISp C1ql2 Cdh13,L5 ET-3,L5 ET-3
895740736,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
915442497,L2/3 IT VISp Adamts2,,L2/3 IT
850983752,L2/3 IT VISp Adamts2,,L2/3 IT
929962825,L6b VISp Col8a1 Rxfp1,,L6b
914389834,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
903801677,L6 CT VISp Ctxn3 Sla,,L6 CT-1
903842638,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
951581517,L4 IT VISp Rspo1,,L4 IT
867650384,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
962280275,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
679471957,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
951700309,L5 ET VISp Krt80,,L5 ET-2
656714583,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
827882326,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
778255191,L4 IT VISp Rspo1,,L4 IT
847887193,L6 IT VISp Penk Col27a1,,
948321114,L5 ET VISp Krt80,,L5 ET-2
992205657,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
828009310,L5 ET VISp Krt80,,L5 ET-3
978652004,L6b VISp Crh,,L6b
869616485,L2/3 IT VISp Agmat,,L2/3 IT
991980391,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
899513194,L5 ET VISp Krt80,,L5 ET-3
908565354,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
937732972,L6 CT VISp Ctxn3 Sla,,L6 CT-1
965577581,L6 IT VISp Col18a1,,
644836206,L5 ET VISp C1ql2 Cdh13,L5 ET-3,L5 ET-3
971647853,L5 IT VISp Col27a1,L5 IT-3 Pld5,L5 IT-3 Pld5
971561834,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
1006181229,L6b Col8a1 Rprm,,L6b
665201523,L6 CT VISp Krt80 Sla,,L6 CT-2
901151599,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
823024502,L5 ET VISp C1ql2 Cdh13,L5 ET-3,L5 ET-3
1041329016,L5 NP VISp Trhr Met,,L5 NP
967310207,L6 CT VISp Krt80 Sla,,L6 CT-2
961846146,L6 CT VISp Krt80 Sla,L6 CT-2,L6 CT-2
864004996,L6 CT VISp Krt80 Sla,,L6 CT-2
985869192,L6 CT VISp Krt80 Sla,L6 CT-2,L6 CT-2
762706824,L4 IT VISp Rspo1,,L4 IT
638806925,L5 IT VISp Batf3,L5 IT-1,L5 IT-1
992406414,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
904731534,L6 CT VISp Nxph2 Wls,L6 CT-1,L6 CT-1
992205711,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
1000110992,L6 IT VISp Car3,L5/L6 IT Car3,L5/L6 IT Car3
819747729,L5 IT VISp Batf3,,L5 IT-1
898608019,L5 IT VISp Col27a1,,L5 IT-3 Pld5
843414426,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
984034203,L6b Col8a1 Rprm,L6b,L6b
712145820,L5 NP VISp Trhr Met,L5 NP,L5 NP
811387807,L6 CT VISp Ctxn3 Sla,,L6 CT-1
645536677,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
912903080,L5 IT VISp Batf3,,L5 IT-1
668474280,L2/3 IT VISp Rrad,,L2/3 IT
742521771,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
989477803,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
827595695,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
841788339,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
645807027,L5 ET VISp Krt80,L5 ET-3,L5 ET-3
701074357,L5 NP VISp Trhr Met,L5 NP,L5 NP
966658997,L6 CT VISp Ctxn3 Sla,,L6 CT-1
935046071,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
652958648,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
985832380,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
640314301,L4 IT VISp Rspo1,,L4 IT
824990654,L4 IT VISp Rspo1,L4 IT,L4 IT
971582405,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
672644038,L4 IT VISp Rspo1,,L4 IT
895609799,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
834030537,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
651041745,L5 IT VISp Whrn Tox2,L4/L5 IT,L4/L5 IT
851700690,L6 CT VISp Ctxn3 Sla,,L6 CT-1
920542161,L2/3 IT VISp Agmat,,L2/3 IT
882752472,L6 CT VISp Ctxn3 Sla,,L6 CT-1
882256858,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
926555099,L6b VISp Mup5,,L6b
701074400,L5 NP VISp Trhr Met,L5 NP,L5 NP
977013731,L6 IT VISp Col18a1,,L6 IT-2
932678629,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
976985059,L4 IT VISp Rspo1,,L4 IT
962821095,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
914250737,L2/3 IT VISp Agmat,,L2/3 IT
880774141,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
899378174,L5 IT VISp Batf3,,L5 IT-1
951495679,L4 IT VISp Rspo1,,L4 IT
956476417,L4 IT VISp Rspo1,,L4 IT
915479566,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
653196313,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
709442586,L2/3 IT VISp Agmat,,L2/3 IT
811375643,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
678661149,L6 IT VISp Penk Col27a1,,
643808289,L4 IT VISp Rspo1,,L4 IT
898559010,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
841882659,L6 IT VISp Penk Fst,L6 IT-2,L6 IT-2
908721187,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
927489061,L6b Col8a1 Rprm,,L6b
932678695,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
645000232,L4 IT VISp Rspo1,,L4 IT
880884775,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
992402475,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
649505836,L2/3 IT VISp Rrad,,L2/3 IT
828886063,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
680954928,L4 IT VISp Rspo1,L2/3 IT,L2/3 IT
642763833,L5 IT VISp Whrn Tox2,L4/L5 IT,L4/L5 IT
988957754,L6b P2ry12,L6b,L6b
985930816,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
867765313,L2/3 IT VISp Agmat,,L2/3 IT
865311811,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
991968323,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
839285831,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
697506892,L6 IT VISp Penk Col27a1,,
907353172,L6b Col8a1 Rprm,,L6b
972549205,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
971582554,L5 IT VISp Whrn Tox2,,L4/L5 IT
839584863,L6b P2ry12,L6b,L6b
1010687072,L6b Col8a1 Rprm,,L6b
765881445,L6 IT VISp Penk Fst,L6 IT-1,L6 IT-1
834088038,L6 CT VISp Ctxn3 Sla,,L6 CT-1
902278249,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
841817193,L6 CT VISp Nxph2 Wls,L6 CT-1,L6 CT-1
701160557,L4 IT VISp Rspo1,,L4 IT
743115891,L5 IT VISp Batf3,,L5 IT-1
912063608,L6 CT VISp Nxph2 Wls,L6 CT-1,L6 CT-1
910310523,L6 CT VISp Ctxn3 Sla,,L6 CT-1
903818367,L6 CT VISp Ctxn3 Sla,,L6 CT-1
914275457,L6 IT VISp Car3,,L5/L6 IT Car3
896044181,L5 ET VISp Krt80,,L5 ET-2
1055390869,L5 NP VISp Trhr Cpne7,,L5 NP
896871575,L4 IT VISp Rspo1,,L4 IT
1034751127,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
639360153,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
962038938,L4 IT VISp Rspo1,,L4 IT
696958105,L5 NP VISp Trhr Met,,L5 NP
742538397,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
899505310,L6 IT VISp Col18a1,,
828894369,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
972549288,L6 IT VISp Penk Col27a1,,
918928552,L6 IT VISp Penk Col27a1,,
907336873,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
904023215,L6 CT VISp Krt80 Sla,,L6 CT-2
978652336,L5 ET VISp Krt80,,L5 ET-3
927833265,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
845540533,L5 IT VISp Batf3,,L5 IT-1
912571573,L6 IT VISp Col18a1,,
882449590,L5 ET VISp Lgr5,,L5 ET-3
896126139,L5 ET VISp Krt80,,L5 ET-2
1000131771,L6 IT VISp Car3,,L5/L6 IT Car3
988945595,L6b VISp Crh,,L6b
1039862978,L6b Col8a1 Rprm,,L6b
1038773445,L6b P2ry12,,L6b
914250949,L6 CT VISp Krt80 Sla,L6 CT-2,L6 CT-2
931941575,L6 CT VISp Ctxn3 Sla,,L6 CT-1
826830025,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
882322637,L4 IT VISp Rspo1,,L4 IT
644832461,L6 IT VISp Col18a1,L6 IT-2,L6 IT-2
640109779,L4 IT VISp Rspo1,,L4 IT
645913812,L5 ET VISp Krt80,L5 ET-3,L5 ET-3
984104151,L6b P2ry12,,L6b
902323416,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
992394456,L5 IT VISp Batf3,L4/L5 IT,L4/L5 IT
824937690,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
902266075,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
711564509,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
939633886,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
978676960,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
966765795,L6 IT VISp Col18a1,,L6 IT-2
975449315,L5 ET VISp Lgr5,,L5 ET-2
947281123,L5 IT VISp Batf3,,L5 IT-1
947109100,L5 IT VISp Batf3,,L5 IT-1
910335214,L6 IT VISp Penk Col27a1,,L6 IT-3
827944175,L5 ET VISp Lgr5,,L5 ET-2
834055407,L6 CT VISp Ctxn3 Sla,,L6 CT-1
982703343,L5 ET VISp Krt80,,L5 ET-2
989134063,L5 ET VISp Krt80,,L5 ET-3
919784692,L5 IT VISp Col27a1,,L5 IT-3 Pld5
863431930,L6 CT VISp Ctxn3 Sla,,L6 CT-1
971517180,L6 IT VISp Col23a1 Adamts2,L6 IT-2,L6 IT-2
986279166,L2/3 IT VISp Agmat,,L2/3 IT
970747135,L5 ET VISp Krt80,,L5 ET-2
948366592,L6 IT VISp Penk Col27a1,L6 IT-2,L6 IT-2
963308801,L5 ET VISp Krt80,,L5 ET-3
679185666,L5 IT VISp Whrn Tox2,,L4/L5 IT
926842115,L5 ET VISp Krt80,,L5 ET-2
851692805,L6 CT VISp Ctxn3 Sla,,L6 CT-1
1036061965,L6b Col8a1 Rprm,L6b,L6b
931814669,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
639827216,L5 IT VISp Batf3,L5 IT-1,L5 IT-1
834039060,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
982658324,L6b VISp Mup5,L6b,L6b
990240020,L6 IT VISp Col18a1,,
940686616,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
902380826,L6 CT VISp Ctxn3 Sla,,L6 CT-1
863993115,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
732003615,L6 CT VISp Krt80 Sla,,L6 CT-2
1034747172,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
912117029,L6 CT VISp Ctxn3 Sla,,L6 CT-1
642993450,L5 ET VISp Krt80,,L5 ET-2
906706222,L6 CT VISp Ctxn3 Sla,,L6 CT-1
908688687,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
1010965806,L6b VISp Col8a1 Rxfp1,,L6b
1040452915,L5 NP VISp Trhr Met,,L5 NP
645348660,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
978607419,L6b VISp Col8a1 Rxfp1,L6b,L6b
990518594,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
983928133,L6b VISp Mup5,L6b,L6b
891911493,L5 IT VISp Col6a1 Fezf2,,L5 IT-2
895593803,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
893406540,L2/3 IT VISp Rrad,,L2/3 IT
640109906,L4 IT VISp Rspo1,,L4 IT
952581459,L5 ET VISp Krt80,,L5 ET-2
963009885,L6 IT VISp Penk Col27a1,,
994889056,L5 ET VISp Krt80,,L5 ET-3
681897314,L5 ET VISp Krt80,,L5 ET-2
904899939,L6 IT VISp Col18a1,,
990350690,L5 IT VISp Batf3,,L5 IT-1
951696740,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
966819173,L5 IT VISp Col27a1,L5 IT-3 Pld5,L5 IT-3 Pld5
841866603,L5 ET VISp Krt80,,L5 ET-3
901983596,L6 CT VISp Ctxn3 Sla,,L6 CT-1
937880943,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
908602736,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
912608626,L2/3 IT VISp Agmat,,L2/3 IT
975408498,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
646827381,L6 CT VISp Ctxn3 Sla,,L6 CT-1
824978806,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
990342517,L6 IT VISp Penk Col27a1,,
972483962,L5 ET VISp Krt80,,L5 ET-2
940649852,L5 IT VISp Whrn Tox2,,L4/L5 IT
637394306,L5 ET VISp Krt80,,L5 ET-2
863460740,L6 CT VISp Krt80 Sla,,L6 CT-2
914230662,L6 CT VISp Ctxn3 Sla,,L6 CT-1
982732167,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
603229579,L5 ET VISp Lgr5,L5 ET-2,L5 ET-2
901975435,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
826842508,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
907337101,L6 CT VISp Gpr139,L6 CT-2,L6 CT-2
965750161,L6 IT VISp Col18a1,,L6 IT-1
841866643,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
990219668,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
648093076,L5 IT VISp Whrn Tox2,L4/L5 IT,L4/L5 IT
1036070294,L6b VISp Mup5,,L6b
965057941,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
853581206,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
645442972,L5 ET VISp Krt80,,L5 ET-2
986275230,L5 IT VISp Batf3,,L5 IT-1
764497316,L6b VISp Mup5,L6b,L6b
899673509,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
978652582,L6b Col8a1 Rprm,,L6b
989502887,L6 IT VISp Car3,L5/L6 IT Car3,L5/L6 IT Car3
794963377,L6 IT VISp Penk Col27a1,L6 IT-1,L6 IT-1
648035771,L4 IT VISp Rspo1,,L4 IT
1044635068,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
656948675,L5 IT VISp Batf3,,L5 IT-1
990342596,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
645635525,L5 IT VISp Batf3,,L5 IT-1
965598664,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
912256459,L2/3 IT VISp Rrad,,L2/3 IT
982728140,L5 ET VISp Lgr5,,L5 ET-3
947162577,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
978677202,L6b VISp Mup5,,L6b
984104403,L6b VISp Mup5,,L6b
827772373,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
645451222,L6 IT VISp Col23a1 Adamts2,,
828890584,L5 ET VISp Lgr5,L5 ET-2,L5 ET-2
811355609,L6 CT VISp Krt80 Sla,L6 CT-2,L6 CT-2
961109466,L5 NP VISp Trhr Met,,L5 NP
961908189,L6 CT VISp Krt80 Sla,,L6 CT-2
902000094,L6 CT VISp Nxph2 Wls,L6 CT-1,L6 CT-1
964931038,L6 IT VISp Penk Col27a1,,L6 IT-1
907357664,L6 CT VISp Ctxn3 Sla,,L6 CT-1
966819294,L6 IT VISp Col18a1,L6 IT-1,L6 IT-1
912301547,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
956571115,L2/3 IT VISp Agmat,,L2/3 IT
913837549,L6 CT VISp Gpr139,,L6 CT-2
990354927,L6 IT VISp Penk Col27a1,,L6 IT-2
963063283,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
898485751,L5 ET VISp Krt80,,L5 ET-3
891469307,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
921574909,L6 IT VISp Col18a1,,L6 IT-2
653200894,L6 CT VISp Ctxn3 Sla,,L6 CT-1
1054146046,L6 IT VISp Car3,,L5/L6 IT Car3
